customer_id,customer_name,email,city,state
1,Erik Schroeder,hperez@example.net,Dallas,Texas
2,Olivia Murray,murphychristopher@example.org,South Michaelfort,Maine
3,Elizabeth Monroe,joneselizabeth@example.org,Lopezchester,Utah
4,Samantha Robinson,bbond@example.com,Turnershire,South Carolina
5,Ashley Collier,cookmary@example.org,New Kristy,Idaho
6,Alyssa Smith,mcbridebrent@example.net,Lake Garrett,Arkansas
7,Tracy Allen,isingh@example.net,Payneside,Alabama
8,Rachel Nguyen,donaldgreen@example.org,Powellside,Nebraska
9,Kevin Brooks,nmitchell@example.org,East Barbara,North Carolina
10,Elizabeth Ross,garrett04@example.org,Michaelstad,Maryland
11,Kyle Martinez,courtneycohen@example.org,Port Stacy,Pennsylvania
12,Renee Chavez,nanderson@example.org,Alexanderbury,West Virginia
13,Debbie Parker,jennifer08@example.net,Smithland,Rhode Island
14,Jennifer Gordon,jasoncoleman@example.com,South Douglas,New Mexico
15,Daniel Martinez,rothjason@example.net,Wilsonshire,New Hampshire
16,Robert Holmes,peterpham@example.org,New Dennis,California
17,Lori Brooks,qcasey@example.net,West Kennethton,Nebraska
18,Donna Maxwell,llopez@example.org,Westborough,Missouri
19,Barbara Martin,broach@example.com,Travismouth,Utah
20,Ryan Goodwin,brookehuber@example.org,Youngside,Kentucky
21,Lori Patrick,wmckenzie@example.org,Kellychester,Kansas
22,Tamara Potts,joshua11@example.com,Thompsonfort,Indiana
23,Stephen Duke,bzamora@example.com,Port Meganhaven,Texas
24,Janet Moss,stephenswilliam@example.com,Nelsontown,Arizona
25,Gary Hardy,tbrown@example.net,Coffeyport,Virginia
26,Michael Mcguire,crawfordjoshua@example.net,East Marissa,Missouri
27,Megan Smith,nathan27@example.org,Lake Michaelport,Missouri
28,Eric Sweeney,clinedaniel@example.com,Port Robert,Minnesota
29,Nathan Brandt,taylormccarthy@example.net,Lucaschester,Utah
30,Brittany Wolfe,bgeorge@example.com,Lake Laurenberg,Delaware
31,Kyle Watkins,claytonmorgan@example.net,Lake Lauraside,Kentucky
32,Gregory Hill,tammy62@example.net,North Debra,Indiana
33,Mrs. Jodi Boyd,mcdonaldbrian@example.com,Andreland,Wisconsin
34,Kelly Perez,charles38@example.org,East Kristahaven,Idaho
35,Tyler Yu,amy29@example.com,Rosebury,California
36,Claudia Sexton,vazquezkenneth@example.org,Levyhaven,Massachusetts
37,Laurie Ward,william03@example.org,New Nicoleside,Connecticut
38,Rachel Martinez,john03@example.com,Jeffreyfurt,Minnesota
39,Jeffrey Alvarado,coreydavis@example.org,New Marcusview,Minnesota
40,Matthew Williams,mary78@example.com,Robertchester,Pennsylvania
